ensembl_gene_id,symbol,clip_fpkm_mean,rna_case,rna_control,clip_enrichment,expr_change,localization_group
ENSMUSG00000026103,GLS,244.77266666666665,17.5028,17.5027,3.731516760926792,7.797192530334415e-6,Unannotated
ENSMUSG00000026104,STAT1,11.720716666666666,14.3722,14.7697,-0.3099752625614675,-0.03683156299416397,Unannotated
ENSMUSG00000026107,NABP1,33.397825000000005,25.5448,26.1984,0.3387955605679542,-0.03509251295093732,Nucleus
ENSMUSG00000026109,TMEFF2,0.052403,0.904998,0.823508,-0.7930292628087742,0.06307295407235179,Integral Membrane
ENSMUSG00000026110,MGAT4A,57.48593666666667,2.77217,2.91433,3.901252467259786,-0.05337069311722632,Integral Membrane
ENSMUSG00000026111,UNC50,123.23123666666667,25.2691,26.2909,2.186536092256804,-0.05505319917769757,Unannotated
ENSMUSG00000026112,COA5,8.052816666666667,30.7624,28.8109,-1.719401288349801,0.09147999675636008,Unannotated
ENSMUSG00000026113,INPP4A,3.64807,2.86186,2.84102,0.27514231998396643,0.007806388781653808,Unannotated
ENSMUSG00000026116,TMEM131,19.73174,19.4025,19.3904,0.023951128795627073,8.558651386257162e-4,Integral Membrane
ENSMUSG00000026117,ZAP70,1.0051066666666666,0.443654,0.654631,0.27716946965900385,-0.19678450334839784,Cytoplasm
ENSMUSG00000026121,SEMA4C,11.452406666666667,5.89445,5.45802,0.9472607837678069,0.09434355745008491,Unannotated
ENSMUSG00000026123,PLEKHB2,41.403866666666666,17.3838,17.2567,1.2157698115785252,0.0100089941554295,Integral Membrane
ENSMUSG00000026126,PTPN18,0.5518636666666666,1.04213,1.21682,-0.514489811516833,-0.11841692219227876,Nucleus
ENSMUSG00000026127,IMP4,35.053533333333334,22.9945,24.4167,0.5043639250931652,-0.08307297856835959,Unannotated
ENSMUSG00000026131,DST,45.5487,20.2053,18.0434,1.289449797373512,0.15513381371110363,Integral Membrane
ENSMUSG00000026134,PRIM2,57.166333333333334,26.708,28.5323,0.9778906438512421,-0.09199114018702263,Unannotated
ENSMUSG00000026135,ZFP142,56.437466666666666,10.2932,10.3069,2.3447886776755316,-0.0017491006217828548,Nucleus
ENSMUSG00000026142,RHBDD1,1.20203,4.09004,3.80367,-1.1253029209269132,0.08353994880091575,Unannotated
ENSMUSG00000026150,MFF,64.462923,40.6291,42.7295,0.5820711690875932,-0.07101448435950208,Unannotated
ENSMUSG00000026153,FAM135A,46.12416666666667,16.8578,19.3981,1.2080323290238357,-0.1918804193654777,Unannotated
