GO,n_genes,mean_clip_enrichment,mean_expr_change,clip_p,expr_p,TERM,ontology,clip_fdr,expr_fdr,combined_fdr,neglog10_fdr
GO:0030020,32,-1.3574097526121414,0.18047260933062256,4.471037472729611e-8,5.0629783740831716e-8,extracellular matrix structural constituent conferring tensile strength,MF,1.6965103299301803e-6,7.691224813354352e-6,1.6965103299301803e-6,5.770443491622744
GO:0050840,25,-2.014205876400265,0.1669948636367272,5.451621255126059e-8,3.55486670807727e-4,extracellular matrix binding,MF,1.959714377500578e-6,0.011561780769603692,1.959714377500578e-6,5.707807221150926
GO:0042393,140,0.964558457932735,0.016346599646811604,2.0560095491363275e-7,0.4862031680332238,histone binding,MF,7.021272610300558e-6,0.8021177868760673,7.021272610300558e-6,5.15358416457381
GO:0005201,70,-0.696908278581213,0.12093510122431785,1.2897316448961777e-5,5.630472044915339e-8,extracellular matrix structural constituent,MF,2.841570043432546e-4,7.691224813354352e-6,7.691224813354352e-6,5.1140044940965534
GO:0004672,410,0.7141163900287332,0.03087839366797436,5.087075465529688e-7,0.36981843877073683,protein kinase activity,MF,1.6545107347413224e-5,0.7450914267858798,1.6545107347413224e-5,4.781330410720026
GO:0016491,435,-0.1441565845365173,0.054511292821684626,1.2784897911711617e-6,0.007809441557532074,oxidoreductase activity,MF,3.9691296698631975e-5,0.08466426323483185,3.9691296698631975e-5,4.401304712635756
GO:0031267,266,0.7502617607106334,0.03238551274667248,1.7415963787676738e-6,0.38186755336930744,small GTPase binding,MF,5.171784029123136e-5,0.751347399003001,5.171784029123136e-5,4.286359619313387
GO:0005518,51,-1.101540446303942,0.05533493168023635,2.114741594468072e-6,0.006813891799922669,collagen binding,MF,5.3495129963766415e-5,0.07756480165578637,5.3495129963766415e-5,4.271685753046678
GO:0004812,40,1.5466258760438638,0.021147150351359112,2.0594447475537786e-6,0.4407079763026644,aminoacyl-tRNA ligase activity,MF,5.3495129963766415e-5,0.7681362933391347,5.3495129963766415e-5,4.271685753046678
GO:0004930,81,-0.5017535090647393,0.05912255188203334,1.9923068776455516e-6,0.049733418315092745,G protein-coupled receptor activity,MF,5.3495129963766415e-5,0.2784256123705602,5.3495129963766415e-5,4.271685753046678
GO:0008201,94,-0.5982859943628807,0.10541068047659406,2.012492610884517e-6,2.480132589453024e-6,heparin binding,MF,5.3495129963766415e-5,2.1174131982455192e-4,5.3495129963766415e-5,4.271685753046678
