TERM,GO,dataset,n_genes,effect,fdr,neglog10_fdr
cell adhesion,GO:0007155,GSE134033,332,-0.16308626511385943,1.6117865525036877e-4,3.792692471964912
calcium ion binding,GO:0005509,GSE134033,381,-0.1476320064598018,4.935433626360841e-4,3.306674684278533
monoatomic ion transport,GO:0006811,GSE134033,312,-0.09458183900402518,0.00144945520440457,2.8387952020271814
transmembrane transport,GO:0055085,GSE134033,291,-0.01731790899890156,0.02341739308039398,1.6304614540038886
endoplasmic reticulum lumen,GO:0005788,GSE134033,87,-0.2978761554276055,0.04671539848550776,1.3305399422392352
cell surface,GO:0009986,GSE39872,352,-1.1528559713506494,9.901459308736068e-21,20.004300792975616
endoplasmic reticulum lumen,GO:0005788,GSE39872,204,-0.7333681900664446,2.0962688159933158e-18,17.678553026165037
cell adhesion,GO:0007155,GSE39872,355,-1.3390418265348347,4.327157901965865e-15,14.363797256707622
extracellular matrix,GO:0031012,GSE39872,221,-1.113194431984952,2.8969875761126924e-12,11.53805336728753
focal adhesion,GO:0005925,GSE39872,360,-1.6374970714789434,5.8573989716157455e-12,11.232295193375162
protein glycosylation,GO:0006486,GSE39872,143,-0.997726878097805,1.895025093840762e-9,8.722385034748987
calcium ion binding,GO:0005509,GSE39872,365,-1.7512128884229774,1.1908279074314741e-8,7.924150996076477
apical plasma membrane,GO:0016324,GSE39872,199,-1.3349336481399563,3.67439728790659e-8,7.434813888145227
growth factor binding,GO:0019838,GSE39872,35,0.2973963165150864,1.9719693835297544e-5,4.705099832126706
external side of plasma membrane,GO:0009897,GSE39872,134,-1.3363050497967028,2.709694595473693e-5,4.5670796548727495
cytosolic ribosome,GO:0022626,GSE39872,88,-1.5981550614342657,7.082822081218193e-5,4.149793667437196
protein disulfide isomerase activity,GO:0003756,GSE39872,14,1.028572056128369,1.0643722145125024e-4,3.9729064712508646
transmembrane receptor protein tyrosine phosphatase activity,GO:0005001,GSE39872,11,1.4154552888004752,1.3493264541540107e-4,3.8698829650163056
protein folding in endoplasmic reticulum,GO:0034975,GSE39872,10,1.9007539868924008,2.4167124787456896e-4,3.616775015426788
endodermal cell differentiation,GO:0035987,GSE39872,24,0.3408118616904232,8.068612702386293e-4,3.0932011303945646
transmembrane transport,GO:0055085,GSE39872,291,-2.0472929018001462,0.00206195551651006,2.685720708180826
monoatomic ion transport,GO:0006811,GSE39872,336,-2.245771804533621,0.01773243698881055,1.7512315747170175
serine-type endopeptidase inhibitor activity,GO:0004867,GSE39872,34,-1.112769651372053,0.01805860260173204,1.7433158589968687
ribonucleoprotein complex,GO:1990904,GSE39872,350,-2.484354436478756,0.04387873445847144,1.3577459067497508
