GO,n_genes,mean_clip_enrichment,mean_ribo_density_change,clip_p,ribo_p,TERM,ontology,clip_fdr,ribo_fdr,combined_fdr,neglog10_fdr
GO:0001525,197,-0.05646512414456867,0.0022702221130635734,5.557134113790732e-9,2.918101945248305e-6,angiogenesis,BP,1.3087050837977174e-6,9.413876823369531e-5,1.3087050837977174e-6,5.883158210523068
GO:0007411,131,0.043075467202962764,0.08334506234726968,5.12008525100591e-9,2.8717045007167523e-7,axon guidance,BP,1.3087050837977174e-6,1.2523822405903615e-5,1.3087050837977174e-6,5.883158210523068
GO:0030199,41,0.3212181068598826,0.3402414649811564,4.813592004368399e-6,2.854196055534726e-8,collagen fibril organization,BP,4.360003527033685e-4,1.5631701652986698e-6,1.5631701652986698e-6,5.805993742500561
GO:0007186,188,-0.21592776188019908,0.061505943234386636,1.71910863231016e-4,3.134671596854873e-8,G protein-coupled receptor signaling pathway,BP,0.005079507322090168,1.6404781356873837e-6,1.6404781356873837e-6,5.785029553521516
GO:0051028,101,-0.4458912169104768,-0.4964123841557386,0.6596966507961184,3.130051698165954e-8,mRNA transport,BP,0.8564419033213113,1.6404781356873837e-6,1.6404781356873837e-6,5.785029553521516
GO:0042908,23,0.2367704626495554,0.5232140308972719,7.738844737373487e-4,3.255652998518827e-8,xenobiotic transport,BP,0.014697563997189163,1.6667527851112692e-6,1.6667527851112692e-6,5.778128810504216
GO:0006302,73,-0.5583643503170578,-0.5468051458941376,0.8337453999469578,4.410099791855629e-8,double-strand break repair,BP,0.9381129559842741,2.209741491451065e-6,2.209741491451065e-6,5.655658529664666
GO:0000381,61,-0.622638107411975,-0.558580546362628,0.7032168061681862,9.215939177358032e-8,"regulation of alternative mRNA splicing, via spliceosome",BP,0.880131103764137,4.521570158891284e-6,4.521570158891284e-6,5.34471072604518
GO:0035269,17,0.4295792469768957,0.7087835563984238,3.365675750091896e-4,9.987281549699854e-8,protein O-linked glycosylation via mannose,BP,0.0081713055582128,4.800009806029216e-6,4.800009806029216e-6,5.3187578753952405
GO:0007154,25,0.5257470266983167,0.4577539015509145,4.657982732684033e-5,1.1897200429708778e-7,cell communication,BP,0.0022006626693812275,5.6035814023928345e-6,5.6035814023928345e-6,5.251534314753314
GO:0018279,20,0.5599606021258142,0.5178995937561013,1.5891814658987164e-4,1.5571810085707615e-7,protein N-linked glycosylation via asparagine,BP,0.00487177999101973,7.190512304282634e-6,7.190512304282634e-6,5.143240166223949
GO:0042274,74,-1.0143299177095495,-0.5307158106051294,0.0013689979680326478,1.8892146014907473e-7,ribosomal small subunit biogenesis,BP,0.02223441527390956,8.555962281751366e-6,8.555962281751366e-6,5.067731138647419
GO:0000278,100,-0.7940484104028493,-0.475592160759244,0.041842525879168514,2.4315151016050753e-7,mitotic cell cycle,BP,0.21010479412674168,1.0804185026943306e-5,1.0804185026943306e-5,4.966407986915871
GO:0001503,63,0.0417551168204769,0.19088715613318857,5.7550732216051256e-5,3.445340687005324e-7,ossification,BP,0.00254834293319062,1.4752322396177343e-5,1.4752322396177343e-5,4.831139605146814
GO:0030036,207,-0.4446253161422047,-0.3980255874467667,0.30508176937163595,3.7676186128794273e-7,actin cytoskeleton organization,BP,0.5997393135475128,1.53635010040134e-5,1.53635010040134e-5,4.81350980686502
GO:0030001,28,0.3027951826632382,0.35746612108022235,4.320878099826418e-4,3.783792179332387e-7,metal ion transport,BP,0.009691112309610679,1.53635010040134e-5,1.53635010040134e-5,4.81350980686502
