GO,n_genes,mean_clip_enrichment,mean_ribo_density_change,clip_p,ribo_p,TERM,ontology,clip_fdr,ribo_fdr,combined_fdr,neglog10_fdr
GO:0017017,10,-1.0635317971599942,-0.715772424192944,0.11888029917982085,0.0010826018987411903,MAP kinase tyrosine/serine/threonine phosphatase activity,ALL,0.3491892071008205,0.007020211586573999,0.007020211586573999,2.1536497981982943
GO:0005540,13,0.15676071011205278,0.3623688097919841,0.03288007856387232,0.001086818811909634,hyaluronic acid binding,ALL,0.1645385444099661,0.007034789157523771,0.007034789157523771,2.1527489144475966
GO:0071711,24,0.2945884488770975,0.1496982754563068,3.7289636988486265e-4,0.005366642626463901,basement membrane organization,ALL,0.007049517087823356,0.025649644708278574,0.007049517087823356,2.1518406324095682
GO:0008483,19,-1.424274096151347,-0.5028827537471449,3.860866509027596e-4,0.020919344045603652,transaminase activity,ALL,0.007184831269143542,0.07132138957532619,0.007184831269143542,2.1435834265193634
GO:0071514,18,-0.4906625714227885,-0.6359274731675811,0.877828557112196,0.0011423865540002907,genomic imprinting,ALL,0.949585659873411,0.007381097933893379,0.007381097933893379,2.131879032327935
GO:0042824,11,0.07599530267418629,0.35779986254629553,0.08331605800486062,0.0011643331557319612,MHC class I peptide loading complex,ALL,0.28603332640373574,0.007509318349152161,0.007509318349152161,2.12439948385304
GO:0071162,11,-1.6438386892567662,-0.7425858214163503,4.134599510405181e-4,0.005563899337407786,CMG complex,ALL,0.007575858487527031,0.02647112161459124,0.007575858487527031,2.120568146288327
GO:0042555,11,-1.5171762377560993,-0.8327129480191657,0.0030629134501298084,0.0011829678513233112,MCM complex,ALL,0.033263798654449256,0.007604915271433708,0.007604915271433708,2.1189056201847873
GO:0043330,18,-0.7946258353006171,-0.6755621694313436,0.3672712172182745,0.0011844545546212174,response to exogenous dsRNA,ALL,0.638668526434286,0.007604915271433708,0.007604915271433708,2.1189056201847873
GO:0032465,40,-0.6965781531878528,-0.473433274362472,0.4053605056010893,0.0011857744907775485,regulation of cytokinesis,ALL,0.6730236279270863,0.007604915271433708,0.007604915271433708,2.1189056201847873
GO:0016125,11,0.5200014019443395,0.35455177499461193,0.0012332028081411593,0.0011876693874783122,sterol metabolic process,ALL,0.016753740051286548,0.007604915271433708,0.007604915271433708,2.1189056201847873
GO:0016616,40,-0.7973161702459565,-0.44565969152948315,0.1407872086993557,0.0012028179752996578,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",ALL,0.38399442494870073,0.007688137076468117,0.007688137076468117,2.114178881970236
GO:0003746,17,-1.298367895657192,-0.6187367258306802,0.004169103529136542,0.0012063159895376542,translation elongation factor activity,ALL,0.041606490625089323,0.0076967268403893545,0.0076967268403893545,2.1136939264347645
GO:0051059,33,-0.9310436795810688,-0.5149125769600487,0.033744861106430664,0.0012127127626266555,NF-kappaB binding,ALL,0.1676004517202804,0.0077237481298842075,0.0077237481298842075,2.112171896931088
GO:0042761,10,0.5497122831851075,0.4522812091444645,0.008021394300527772,0.0012348485177397803,very long-chain fatty acid biosynthetic process,ALL,0.06712047268333894,0.007840510005261847,0.007840510005261847,2.1056556866437446
GO:0007267,29,-0.3136693036514405,0.15321117190052497,0.31026808499499264,0.0012354344060907976,cell-cell signaling,ALL,0.5884224350780831,0.007840510005261847,0.007840510005261847,2.1056556866437446
GO:0045292,16,-0.6548870945293407,-0.641122147703257,0.6135312195461913,0.0012387927455448004,"mRNA cis splicing, via spliceosome",ALL,0.8145727897867914,0.007847883829488603,0.007847883829488603,2.1052474343469503
GO:0034451,128,-0.5626530170171558,-0.343622363678962,0.9770021378541114,0.0012501919135134345,centriolar satellite,ALL,0.9919950045989417,0.007906080897315931,0.007906080897315931,2.10203874614304
GO:0031072,63,-0.7607207100099093,-0.42304968582576735,0.31578705659509465,0.0012550186656975727,heat shock protein binding,ALL,0.5925982947553956,0.007922582495649165,0.007922582495649165,2.101133229926405
GO:0042162,28,-1.0027962940055533,-0.528829300070423,0.03713059294713073,0.001264352729384885,telomeric DNA binding,ALL,0.17689014480013082,0.007939424081005612,0.007939424081005612,2.1002109997785405
GO:0045582,28,-0.4993392780439389,-0.5344854095455054,0.9156165548099552,0.0012627886584570458,positive regulation of T cell differentiation,ALL,0.967326419377874,0.007939424081005612,0.007939424081005612,2.1002109997785405
GO:0090543,29,-0.5347876975349434,-0.4981953370070073,0.9969033355377867,0.0012628058724356245,Flemming body,ALL,0.9992904010990733,0.007939424081005612,0.007939424081005612,2.1002109997785405
GO:0070301,67,-0.8035521692992748,-0.3952069975661884,0.1034682313842363,0.001279211319369773,cellular response to hydrogen peroxide,ALL,0.3201674384464113,0.008018635165102104,0.008018635165102104,2.0958995457690204
GO:1905039,10,0.6341978383644805,0.45600734193031245,4.588610228899231e-4,0.0017433499208409262,carboxylic acid transmembrane transport,ALL,0.008116388291018293,0.010504197752385546,0.008116388291018293,2.09063718433302
