GO,n_genes,mean_clip_enrichment,mean_ribo_density_change,clip_p,ribo_p,TERM,ontology,clip_fdr,ribo_fdr,combined_fdr,neglog10_fdr
GO:0001650,152,-0.6381784661327227,-0.4616502482491843,0.41409784233206864,1.296487766008446e-9,fibrillar center,CC,0.6358906723449732,1.6492530418758603e-8,1.6492530418758603e-8,7.782712706235727
GO:0015630,223,-0.6010454062010119,-0.4059611411569229,0.539950394382034,1.6791089332409106e-9,microtubule cytoskeleton,CC,0.7203728432365185,2.0874376965517682e-8,2.0874376965517682e-8,7.68038647797493
GO:1990904,373,-0.8273738637917756,-0.35958528098328996,3.643518023637936e-5,1.7463145548433714e-9,ribonucleoprotein complex,CC,4.982510897324878e-4,2.122742358887387e-8,2.122742358887387e-8,7.673102713748989
GO:0000775,156,-0.5742447044443822,-0.4516808950004586,0.6882055766902015,1.0414210145454292e-8,"chromosome, centromeric region",CC,0.8310120318974398,1.2383854238181517e-7,1.2383854238181517e-7,6.907144168412312
GO:0005938,171,-0.5937578150448525,-0.43727037423337667,0.45622318350420465,1.1858616248256341e-8,cell cortex,CC,0.6601959824783067,1.3801410825098338e-7,1.3801410825098338e-7,6.860076516335192
GO:0072686,130,-0.6990922547356162,-0.4488404318073816,0.0896720599802046,2.5340180192369572e-08,mitotic spindle,CC,0.2502582490263873,2.887724701088783e-7,2.887724701088783e-7,6.5394442122440015
GO:0000781,114,-0.6258930427398179,-0.47043515408652686,0.4312745862766272,3.522337480484923e-8,"chromosome, telomeric region",CC,0.644517693639605,3.9320787792352096e-7,3.9320787792352096e-7,6.40537778965872
GO:0014069,292,-0.5876321369340741,-0.35096104638586134,0.5017077898447166,4.176754587612024e-8,postsynaptic density,CC,0.6919651270000347,4.569369518847554e-7,4.569369518847554e-7,6.340143719705868
GO:0045211,167,-0.003693538281907538,0.07994621659651155,2.107574871968336e-8,4.780773653176477e-8,postsynaptic membrane,CC,5.012362847681216e-7,5.127614094681436e-7,5.012362847681216e-7,6.299957497725407
GO:0030496,184,-0.6481159276520875,-0.4013153493331708,0.16669463603258344,4.8888149288494504e-8,midbody,CC,0.36915775671993173,5.142657242462788e-7,5.142657242462788e-7,6.288812420393591
GO:0022625,55,-1.5484821944202594,-0.2174497864967498,3.2835882210975796e-8,0.625341262123349,cytosolic large ribosomal subunit,CC,7.483844820584901e-7,0.717110420086943,7.483844820584901e-7,6.125875226284586
GO:0032040,72,-0.9310764324878246,-0.556029313336379,0.012832282148109941,8.689265868008753e-8,small-subunit processome,CC,0.06621941825486923,8.967978169435448e-7,8.967978169435448e-7,6.047305457605909
GO:0005840,197,-1.036688178977997,-0.20433143596514408,4.209975140504061e-8,0.6999677612921429,ribosome,CC,9.211425607422885e-7,0.7734997281349538,9.211425607422885e-7,6.035673150962269
GO:0008305,18,0.49330076664169825,0.5554174653382634,4.61943483783328e-4,1.4909074933625245e-7,integrin complex,CC,0.0049545703064604,1.510234071980187e-6,1.510234071980187e-6,5.820955735957768
GO:0043202,20,0.18215293967781712,0.5354116651778921,0.0020633563556693092,1.710783998447645e-7,lysosomal lumen,CC,0.016123656093587315,1.7014524493652033e-6,1.7014524493652033e-6,5.7691801836630106
GO:0030027,175,-0.6506360868955268,-0.4149402220177129,0.1470389372081493,3.095952865344588e-7,lamellipodium,CC,0.34309431208402036,3.024082530970517e-6,3.024082530970517e-6,5.519406360572954
GO:0009925,51,0.16062637381468042,0.2237924398507747,1.890405591965192e-5,8.292934122945272e-7,basal plasma membrane,CC,2.9733355428579065e-4,7.958306956580814e-6,7.958306956580814e-6,5.099179313872932
