GO,n_genes,mean_clip_enrichment,mean_ribo_density_change,clip_p,ribo_p,TERM,ontology,clip_fdr,ribo_fdr,combined_fdr,neglog10_fdr
GO:0005178,89,0.18767871150966958,0.13875181629316122,1.0572550446079106e-8,8.820522224582738e-8,integrin binding,MF,1.0134544784741544e-6,1.1555456693832015e-6,1.0134544784741544e-6,5.994195753819987
GO:1990837,310,-0.6579759955985419,-0.35512186313313326,0.08950286279565285,7.508959120660471e-8,sequence-specific double-stranded DNA binding,MF,0.27804588931749646,1.0282676673394238e-6,1.0282676673394238e-6,5.987893819857099
GO:0001222,51,-0.9975561369404721,-0.6433802268394153,0.020546622262413303,7.772412662209336e-8,transcription corepressor binding,MF,0.11476839145734594,1.043057779268493e-6,1.043057779268493e-6,5.9816916335461885
GO:0042826,105,-0.8121208713031319,-0.4764741497942284,0.01196266267124727,8.95504840654642e-8,histone deacetylase binding,MF,0.07703647297598691,1.1555456693832015e-6,1.1555456693832015e-6,5.937212885694025
GO:0005385,22,0.5613445659923,0.4548769032463804,3.658413226645122e-5,1.2606969513051446e-7,zinc ion transmembrane transporter activity,MF,9.44152028876491e-4,1.5960899138221736e-6,1.5960899138221736e-6,5.796942646834347
GO:0003735,161,-1.1236120676023165,-0.16480530829597567,2.2487102923501107e-8,0.5680625786486585,structural constituent of ribosome,MF,1.6765384512965827e-6,0.6617534553355032,1.6765384512965827e-6,5.775586481606214
GO:0008083,65,-0.24646315146884695,0.22161979694960549,0.01739988447178128,1.4215109766889188e-7,growth factor activity,MF,0.10152454330926294,1.766359009922712e-6,1.766359009922712e-6,5.7529210220594384
GO:0140359,26,0.24049807344293095,0.42200243104933804,6.075350576546248e-4,1.619815458624154e-7,ABC-type transporter activity,MF,0.008319510687474555,1.976174859521468e-6,1.976174859521468e-6,5.704174630008802
GO:0008094,30,-0.6564386327841645,-0.7199604151163901,0.5630630149074193,2.1730673805605117e-7,"ATP-dependent activity, acting on DNA",MF,0.7626293375891412,2.6038003792073276e-6,2.6038003792073276e-6,5.5843923140868945
GO:0019904,273,-0.5521010426356547,-0.35432986228305335,0.7651598236820131,2.491298707676095e-7,protein domain specific binding,MF,0.8817283662985786,2.8821748842252753e-6,2.8821748842252753e-6,5.540279670659545
GO:0016798,56,-0.22745802258424933,0.22888435551470096,0.033578197162310065,2.9432858321867406e-7,"hydrolase activity, acting on glycosyl bonds",MF,0.15060461951796772,3.3473640566055985e-6,3.3473640566055985e-6,5.475297051557143
GO:0004896,22,-0.0065739385711289615,0.4994077324987647,0.047863980357975,3.438875967945696e-7,cytokine receptor activity,MF,0.194646853455765,3.845809624152603e-6,3.845809624152603e-6,5.415012218076316
GO:0005518,44,0.3589733659774555,0.24257511889060576,5.341712509565273e-7,4.013402078126709e-7,collagen binding,MF,3.258444630834817e-5,4.41474228593938e-6,4.41474228593938e-6,5.355094643629151
GO:0016874,119,-0.7568944577609261,-0.456172501088467,0.011355286178753914,4.298184278324618e-7,ligase activity,MF,0.0754395745142958,4.651744597993256e-6,4.651744597993256e-6,5.332384138037987
