GO,n_genes,mean_clip_enrichment,mean_expr_change,clip_p,expr_p,TERM,ontology,clip_fdr,expr_fdr,combined_fdr,neglog10_fdr
GO:0008201,81,-1.5585627721316617,-0.12929775701905213,1.466703326456682e-4,0.09248801012445275,heparin binding,ALL,0.004614060633486772,0.6136112023341984,0.004614060633486772,2.335916702702723
GO:0001569,20,-0.32237947571927755,-0.006516513165647626,1.4432263305793933e-4,0.6850164977664128,branching involved in blood vessel morphogenesis,ALL,0.004614060633486772,0.9510529610407973,0.004614060633486772,2.335916702702723
GO:0017147,18,0.099960813683335,0.077666040907200945,1.4824931069564693e-4,0.9682552264183019,Wnt-protein binding,ALL,0.004614060633486772,0.9977897984648663,0.004614060633486772,2.335916702702723
GO:0019955,21,0.3295081052150439,0.04004812218669748,1.5288218897938823e-4,0.3735671243736398,cytokine binding,ALL,0.004686534011259065,0.8476159630511227,0.004686534011259065,2.3291482268509798
GO:0030057,20,0.04870263484800796,-0.08618228426779942,1.7721880291452969e-4,0.5324447857500838,desmosome,ALL,0.00533555181631959,0.8941254071460571,0.00533555181631959,2.2728206580783965
GO:0005743,409,-3.299945747073264,0.030232942263649847,1.9539023255762535e-4,0.5086165891988215,mitochondrial inner membrane,ALL,0.005830582868887723,0.8885927501112467,0.005830582868887723,2.2342880277301003
GO:0008233,290,-2.1563813285004554,-0.0025813173938370113,2.0064223484199856e-4,0.8022831403305696,peptidase activity,ALL,0.005835545390632466,0.9720824748390964,0.005835545390632466,2.2339185485177833
GO:0006487,52,-1.2793446661015446,0.04188620532078677,2.0420947689639115e-4,0.7237565064455069,protein N-linked glycosylation,ALL,0.005835545390632466,0.9597123978426327,0.005835545390632466,2.2339185485177833
GO:0030424,296,-2.1606138707730205,0.024965259706678837,2.0266852946282106e-4,0.9097151357208103,axon,ALL,0.005835545390632466,0.9913799021284874,0.005835545390632466,2.2339185485177833
GO:0000922,141,-3.55707911041205,0.03216505895769602,1.9821802861885084e-4,0.5629115134113903,spindle pole,ALL,0.005835545390632466,0.9059299969018083,0.005835545390632466,2.2339185485177833
GO:0007178,18,0.24762856725881344,0.019099721987128532,2.01888811153931e-4,0.6776547626170497,cell surface receptor protein serine/threonine kinase signaling pathway,ALL,0.005835545390632466,0.9498804697933619,0.005835545390632466,2.2339185485177833
GO:0018279,22,-0.5113937951998768,-0.21573525770992288,2.1364506260371376e-4,0.05714518986215619,protein N-linked glycosylation via asparagine,ALL,0.006011247915747025,0.5749647608835844,0.006011247915747025,2.221035360499084
GO:0001726,92,-1.6765224904365057,-0.04419928704863528,2.1392341337178022e-4,0.4951262590729715,ruffle,ALL,0.006011247915747025,0.8858369131168551,0.006011247915747025,2.221035360499084
GO:0015693,12,0.3296795079749851,0.12531859449546265,2.325972531153238e-4,0.3293795065035244,magnesium ion transport,ALL,0.006481966425660098,0.8347545873821796,0.006481966425660098,2.188293222792904
GO:0017121,13,0.2064188248420151,-0.06665319752974,2.5422335048793304e-4,0.6633513462870378,plasma membrane phospholipid scrambling,ALL,0.007026566703650084,0.9460392864727988,0.007026566703650084,2.153256826598789
GO:0007162,34,-0.8613943883780393,-0.03395815884214396,2.706040797246847e-4,0.4291846001837328,negative regulation of cell adhesion,ALL,0.007418511844159649,0.867033359003996,0.007418511844159649,2.1296832055955175
GO:0005635,178,-2.0040871256928923,0.006229040511430817,2.870673980696061e-4,0.644692741978382,nuclear envelope,ALL,0.007806381179763805,0.936978430887829,0.007806381179763805,2.107550246261756
GO:0012507,48,-1.3565816647601225,-0.04753842297172764,3.0299167106726996e-4,0.3173803286194739,ER to Golgi transport vesicle membrane,ALL,0.008173503318710675,0.8328455004707128,0.008173503318710675,2.087591756702357
GO:0045332,19,-0.23239538273899638,0.11846527423809962,3.119724625965566e-4,0.3915233695864649,phospholipid translocation,ALL,0.008226932373258729,0.8550626957548962,0.008226932373258729,2.0847620726514178
GO:0006509,19,-0.0708534794208524,0.09149313966990472,3.122916203372234e-4,0.5546687802422063,membrane protein ectodomain proteolysis,ALL,0.008226932373258729,0.9056393548240713,0.008226932373258729,2.0847620726514178
