GO,n_genes,mean_clip_enrichment,mean_expr_change,clip_p,expr_p,TERM,ontology,clip_fdr,expr_fdr,combined_fdr,neglog10_fdr
GO:0022625,48,-1.672130951893364,-0.11974819307953168,5.97002558647437e-4,0.01176078989191172,cytosolic large ribosomal subunit,CC,0.005342666965522826,0.23883450242036108,0.005342666965522826,2.272241896665593
GO:0070160,29,-0.8824830203220013,-0.11339170375477389,6.094042285040805e-4,0.198424833857096,tight junction,CC,0.005362757210835909,0.6908829381508795,0.005362757210835909,2.2706118644915363
GO:0000930,11,-5.26449969626593,0.09710227448796302,7.132907731287444e-4,0.5393090212207721,gamma-tubulin complex,CC,0.0060744762614835,0.8628944339532354,0.0060744762614835,2.2164911607836424
GO:0022627,37,-1.5641222118913216,-0.14140425446347166,9.583593028764199e-4,0.02165536151803812,cytosolic small ribosomal subunit,CC,0.007784826337211534,0.30902786166281426,0.007784826337211534,2.1087510711667634
GO:0000428,35,-4.202760427869308,0.04500065085840329,0.0012121133982477485,0.6270822039418829,DNA-directed RNA polymerase complex,CC,0.009552177227982257,0.8972883568599299,0.009552177227982257,2.0198976283817185
GO:0009925,43,-1.3163384292664846,-0.10791405179983188,0.001211238876174098,0.23905283600563987,basal plasma membrane,CC,0.009552177227982257,0.720381112633175,0.009552177227982257,2.0198976283817185
GO:0005769,257,-2.1443121311245563,0.05339453040595788,0.0013487158680876017,0.16138150750563332,early endosome,CC,0.010472382034562555,0.6671905627930558,0.010472382034562555,1.9799545230199378
GO:0008250,14,-0.3512595782442037,-0.06966235693561405,0.001385614578440809,0.4827449691245336,oligosaccharyltransferase complex,CC,0.010602963730677496,0.8480599706171795,0.010602963730677496,1.974572724171705
GO:0098978,453,-2.3610264937406282,0.02824476500701797,0.0014897847295038827,0.4925747873889367,glutamatergic synapse,CC,0.011237233388257857,0.8480599706171795,0.011237233388257857,1.9493405990969341
GO:0005912,154,-1.9927042060814595,-0.04285432148168335,0.0016038564478418592,0.7582637237714221,adherens junction,CC,0.01177474383374415,0.9687482276798198,0.01177474383374415,1.9290485324200026
GO:0000123,24,-4.424174145224377,-0.009082069117125963,0.001605646886419657,0.8325593739562658,histone acetyltransferase complex,CC,0.01177474383374415,0.9779500121331338,0.01177474383374415,1.9290485324200026
GO:0098553,25,-0.9518613413487536,-0.1810213069509027,0.0017638330561770901,0.029676234737419063,lumenal side of endoplasmic reticulum membrane,CC,0.012757587036458953,0.3429217746168187,0.012757587036458953,1.8942314600856853
GO:0005666,18,-4.683695894252783,0.15870105762930015,0.0017968326353057992,0.19374447026793212,RNA polymerase III complex,CC,0.012820643668127865,0.6908829381508795,0.012820643668127865,1.892090170254119
GO:0030027,168,-2.1025398794963013,-0.03054649307835955,0.0018298522765438762,0.9067415926819121,lamellipodium,CC,0.01288216002686889,0.9805144674153616,0.01288216002686889,1.890011310182868
GO:0035579,52,-1.3347921195638954,-0.10094473294773292,0.0020223294180341054,0.1685301529664859,specific granule membrane,CC,0.01404986753581589,0.6708992696054031,0.01404986753581589,1.8523277703308159
GO:0030496,172,-2.849136341210687,0.17604878113271624,0.5871779370980086,2.9896144555210405e-5,midbody,CC,0.7381665494946393,0.015785164325151094,0.015785164325151094,1.8017508926989163
GO:0005938,149,-2.052568738838805,0.07100093022273404,0.0023330676958653045,0.1384029739060146,cell cortex,CC,0.015820567454472547,0.626946835741236,0.015820567454472547,1.8007779432197335
GO:0031092,11,-0.10307726402227488,-0.038056798384605746,0.0024083818146331424,0.6908323906194431,platelet alpha granule membrane,CC,0.01609652655856075,0.9483857347012508,0.01609652655856075,1.7932678295083047
GO:0030133,78,-1.79309547169832,0.007164450005875187,0.0024759642112894098,0.7681122458623953,transport vesicle,CC,0.016341363794510105,0.9695038937299048,0.016341363794510105,1.7867117015542573
GO:0031901,155,-1.9356761848296984,-0.015950196229013103,0.0025193924155769275,0.7668613201103398,early endosome membrane,CC,0.016422706116353304,0.9695038937299048,0.016422706116353304,1.7845552787290044
GO:0014704,36,-1.0403737397415953,-0.017297691052121145,0.0026181262880523573,0.7392121677604332,intercalated disc,CC,0.016858179025507864,0.9589779473648864,0.016858179025507864,1.773189338482583
GO:0030660,12,-0.32491534057147436,0.029132159371087502,0.002703495529969525,0.8804796461187915,Golgi-associated vesicle membrane,CC,0.01719814023884228,0.9805144674153616,0.01719814023884228,1.764518514003921
GO:0030425,339,-2.314125875926263,0.05663638206318302,0.0028528770550866702,0.0699048038724901,dendrite,CC,0.01781032296209883,0.4884659736205231,0.01781032296209883,1.7493282052203232
GO:0005814,143,-3.447851639658375,0.06359896154541644,0.002867192143519698,0.1575417888478454,centriole,CC,0.01781032296209883,0.6671905627930558,0.01781032296209883,1.7493282052203232
GO:0005791,28,-1.2713524050315768,-0.10466783383836256,0.0030436021980297366,0.5953699237939368,rough endoplasmic reticulum,CC,0.01858961078277353,0.8914888436994006,0.01858961078277353,1.7307297031093967
GO:0016328,50,-1.2884787054733655,-0.10558588081367595,0.003063060867616093,0.3404555175532661,lateral plasma membrane,CC,0.01858961078277353,0.778184040121751,0.01858961078277353,1.7307297031093967
GO:0031965,216,-2.205937845227446,0.02294184852947318,0.003236842189671897,0.7732809447746494,nuclear membrane,CC,0.019202839057828783,0.9698155316888714,0.019202839057828783,1.7166345579632
GO:0034361,11,-0.16755868460859266,0.07227294429289506,0.003208650175372948,0.9812814884954488,very-low-density lipoprotein particle,CC,0.019202839057828783,0.9914982095852767,0.019202839057828783,1.7166345579632
GO:1990904,350,-2.484354436478756,-0.052848535765296606,0.0036175231848917734,7.746281981662598e-4,ribonucleoprotein complex,CC,0.0212228026846984,0.04090036886317852,0.0212228026846984,1.673197263689892
GO:0010494,85,-2.0445087903166304,-0.045801583481789254,0.004377911811087559,0.3589138996890719,cytoplasmic stress granule,CC,0.025401510288508036,0.7863341868706638,0.025401510288508036,1.595140460920785
GO:0031252,56,-1.6786478712463293,0.14843114773685648,0.004554860439550869,0.040040773644365674,cell leading edge,CC,0.02614093817481368,0.37905587795754836,0.02614093817481368,1.5826788300365322
GO:0030658,34,-1.2909611791788085,0.046291129055524405,0.004692336084089374,0.7535470854010728,transport vesicle membrane,CC,0.026640359703217095,0.9687482276798198,0.026640359703217095,1.5744599155352326
GO:0014069,219,-2.285772122768465,0.05380440349581778,0.0047868451093398086,0.2660140574110272,postsynaptic density,CC,0.026887810826929988,0.7448698950263773,0.026887810826929988,1.5704445560692784
GO:0001725,70,-2.3496641528883906,-0.2410647186730763,0.19829650253749145,1.0677823759317408e-4,stress fiber,CC,0.3798086570560836,0.028189454724597957,0.028189454724597957,1.549913324709758
GO:0016529,46,-1.4459476349739582,-0.05765888455418222,0.005513796623490982,0.581697948511156,sarcoplasmic reticulum,CC,0.030645101233718306,0.8854166329387976,0.030645101233718306,1.5136389396513188
GO:0005763,32,-4.101478883643851,-0.10830857548221969,0.005663649057879097,0.11359702724367139,mitochondrial small ribosomal subunit,CC,0.031150069818335034,0.5906580494382921,0.031150069818335034,1.5065409755960264
GO:0016442,14,-0.7726356428856296,0.07361742938085433,0.0060456579409174215,0.7065866039541253,RISC complex,CC,0.03290832363715875,0.9517288951218831,0.03290832363715875,1.4826942402724603
GO:0045211,151,-2.159147812415275,0.05211196215389499,0.0061763026631102115,0.5517278464212758,postsynaptic membrane,CC,0.033276406184920324,0.8718632883719681,0.033276406184920324,1.4778635831726594
GO:0005765,322,-2.247692305000202,-0.016787660273017244,0.0071365560873751024,0.4118734649285327,lysosomal membrane,CC,0.037144543447081846,0.8230343245062788,0.037144543447081846,1.430104975305098
GO:0016282,17,-1.254031487878024,0.12541224093980596,0.007175650438640811,0.27281722027044064,eukaryotic 43S preinitiation complex,CC,0.037144543447081846,0.7448698950263773,0.037144543447081846,1.430104975305098
GO:0031093,37,-1.3573157259979711,-0.13883525574483066,0.007088578596907492,0.3060526521636263,platelet alpha granule lumen,CC,0.037144543447081846,0.756586997221397,0.037144543447081846,1.430104975305098
GO:0005641,10,-0.18248998754756765,-0.2570576414440591,0.007129172979412685,0.1450039828655254,nuclear envelope lumen,CC,0.037144543447081846,0.6391387662875132,0.037144543447081846,1.430104975305098
GO:0042383,77,-1.7388016608713723,-0.08307479773478055,0.0074504927993695284,0.6054422926062195,sarcolemma,CC,0.03785190394473929,0.8914888436994006,0.03785190394473929,1.421912270671227
GO:0071782,20,-1.0577853349560928,-0.043762953145139366,0.007455678049721377,0.4406460658258017,endoplasmic reticulum tubular network,CC,0.03785190394473929,0.8309325812715117,0.03785190394473929,1.421912270671227
GO:0016592,33,-3.952681423705653,0.19094221991732838,0.007879181505385052,0.04778433992884233,mediator complex,CC,0.03962102699850769,0.42050219137381256,0.03962102699850769,1.4020742715030692
GO:0000775,151,-2.853141455691305,0.17263086959403662,0.8206290721224219,6.79136495518348e-4,"chromosome, centromeric region",CC,0.9064689332230936,0.04052832732878567,0.04052832732878567,1.3922413199412267
GO:0005884,68,-2.191776045863898,-0.2743749967673264,0.07258168173672751,6.908237612861193e-4,actin filament,CC,0.19705407303299471,0.04052832732878567,0.04052832732878567,1.3922413199412267
GO:0005736,13,-4.707919490970472,0.1869182408872101,0.008336136922997166,0.20106919341255355,RNA polymerase I complex,CC,0.04113532986301405,0.6908829381508795,0.04113532986301405,1.3857850157490013
GO:0005581,38,-1.3727623226680374,-0.15509885346209593,0.008278002345339111,0.13875058428763404,collagen trimer,CC,0.04113532986301405,0.626946835741236,0.04113532986301405,1.3857850157490013
GO:0008305,12,0.11175804883505287,0.29366730398478935,0.008983607554068363,0.059875776482282525,integrin complex,CC,0.04391985915322311,0.4619916189170387,0.04391985915322311,1.3573390612964908
GO:0044297,62,-1.8533854398798932,-0.10321610399758027,0.009138337715082916,0.19241027734825542,cell body,CC,0.044266443243704406,0.6908829381508795,0.044266443243704406,1.3539253716666813
GO:0005762,53,-3.723034234612902,0.02623942422672947,0.009610658389571538,0.9737709590724464,mitochondrial large ribosomal subunit,CC,0.04613116026994338,0.9914982095852767,0.04613116026994338,1.3360056220772534
GO:0035631,11,-4.6717992627480145,-0.09705184874189043,0.009945567603532938,0.19020753536356844,CD40 receptor complex,CC,0.046886247273798136,0.6908829381508795,0.046886247273798136,1.3289545263463094
GO:0097708,14,-0.8791150746771959,0.10797087523865255,0.009889475961633278,0.4304068589078504,intracellular vesicle,CC,0.046886247273798136,0.8255675666875198,0.046886247273798136,1.3289545263463094
GO:0044322,21,-0.8709598127344081,0.03038764099329908,0.010126319912180248,0.8660491746177621,endoplasmic reticulum quality control compartment,CC,0.047315901890541336,0.9781191067458908,0.047315901890541336,1.3249928773872401
GO:0031258,17,-0.6899774933830121,0.028155517597698857,0.010228266643726497,0.9839868595126611,lamellipodium membrane,CC,0.0473730244551543,0.9914982095852767,0.0473730244551543,1.3244688875487143
