entrez,rna_control,rna_case,rna_control_cpm,clip_cpm,clip_enrichment,expr_change,symbol
54205,14.399206125205,12.719821209819001,86.66131612496366,71.2458375989495,-0.2790258692966081,-0.16659429650661353,CYCS
54206,12.4460416753444,6.65637196297698,74.90623738231525,27.402245230365196,-1.4182134589822308,-0.8124487003916903,ERRFI1
54207,1.12898393719198,1.78800403433057,6.794765838495654,0,-2.962505683767795,0.3890675838816518,KCNK10
5422,23.8374239097824,28.0695040885198,143.46502932785887,42.74750255936971,-1.7234477371876888,0.2269909122736074,POLA1
54221,3.0716986084933,1.58900791445427,18.486952810911237,0,-4.284436607838997,-0.6532314000445644,SNTG2
5423,6.70420653081491,6.39602787337166,40.3491245615963,0,-5.369784880051422,-0.058895716973321,POLB
5424,14.2537216914891,13.9464730886761,85.78572115174875,0,-6.439385790574065,-0.029356190127732905,POLD1
5425,24.3652817493238,16.598191361995,146.64193051975607,0,-7.205958696823833,-0.5274280207273648,POLD2
5426,14.9099152530301,15.4362895821059,89.7350081597546,0,-6.503587386036607,0.04695850298676536,POLE
5428,11.7527843880664,8.68126952434754,70.73388312845334,72.34192740816411,0.03198345077182016,-0.39754412478281126,POLG
5429,6.50694151731248,2.46264768382322,39.16188926911688,0,-5.327755232081325,-1.116349639542972,POLH
5430,62.7965706704383,43.5713648647352,377.9398263428219,46.035771987013526,-3.0101384859205975,-0.5173617354009031,POLR2A
5431,36.2005154998372,34.905244399069304,217.87203338429708,217.02578222449236,-0.005588876093287117,-0.05112803071976137,POLR2B
5432,20.2978036655322,18.4135159719333,122.16190009406434,0,-6.94441221978177,-0.13364323282489085,POLR2C
54328,0.969514537220605,2.32647303255836,5.8350026430104,0,-2.7729418957036485,0.7561532722635124,GPR173
5433,10.9417717386698,12.0663332244763,65.85282072962596,0,-6.062916528306819,0.12983744003046838,POLR2D
54331,2.8669783627248,8.62115551216907,17.25484836143961,0,-4.190207779595098,1.3150034817904659,GNG2
54332,6.02640087634478,6.79340702047401,36.269765631488085,0,-5.219933841688147,0.1494682760673811,GDAP1
5434,40.5874062507999,39.6239337330061,244.27444216080494,0,-7.938253101253387,-0.033816762157090854,POLR2E
54344,6.90630091253504,8.68371483654271,41.565425304084485,0,-5.411610140474259,0.29255773092018833,DPM3
5435,10.050898162329304,15.389927215756563,60.49111703878991,0,-5.942306109734467,0.5686458182470115,POLR2F
5436,16.6989208620317,23.1468350125313,100.50210040657204,28.498335039579803,-1.7828041492046893,0.4481727046816353,POLR2G
54360,0.459572160018235,0.941243536796924,2.7659252805512313,0,-1.9130043758290427,0.4114355830606944,CYTL1
5437,11.2236422420887,14.8585837980561,67.54925236555687,0,-6.099069026181646,0.3755897166239747,POLR2H
5438,20.7885776255527,13.8492166422309,125.11561274498531,0,-6.9786030779347366,-0.5531851944433663,POLR2I
54386,4.11770788197847,6.61277190217448,24.78233739884812,0,-4.688311157689496,0.5729240511672196,TERF2IP
5440,5.49357434048206,12.0190646650433,33.06296044635077,17.537436947433726,-0.8777620409933135,1.003541081083979,POLR2K
54407,75.0275612835315,59.1079873891288,451.551783476163,1942.271141928285,2.1023324243130252,-0.33896580011054595,SLC38A2
5441,23.8650103372788,30.9253783153459,143.63105765561778,0,-7.176233575497805,0.36058668502703417,POLR2L
54413,5.68069753758314,6.33923943432703,34.1891574323016,0,-5.137059065559403,0.13563182063190546,NLGN3
54414,0.892336056715411,1.1676030403246,5.370505597899189,0,-2.671407877133942,0.19593225862372435,SIAE
5442,19.2643076880709,8.35195273482849,115.94182651237742,0,-6.869647219809334,-1.115601344284464,POLRMT
5443,0.579635969444905,0.422626058387405,3.488526766592804,0,-2.166241998352081,-0.15103562959783445,POMC
54431,17.2467482019489,19.3144018348931,103.79918761218953,1195.8339818531372,3.5135236050632264,0.15486350384888553,DNAJC10
54432,13.7936118713048,11.8980300170347,83.0165599749117,0,-6.392601811338594,-0.19782359832246382,YIPF1
54433,9.09421657610474,8.50075473443921,54.73334923868779,24.113975802721374,-1.15005041303483,-0.08741491580826409,GAR1
54434,3.92791208619052,8.20854276179384,23.640055434485003,0,-4.622933596657459,0.9019963514085806,SSH1
54437,3.9883668157792602,4.32287027479469,24.00390094003467,0,-4.644081286887087,0.09363684979877722,SEMA5B
54438,0.417013748657888,0.861935973295841,2.509788386016515,0,-1.8113840494335807,0.39394970739771307,GFOD1
54439,20.5481679818637,12.4576499764748,123.66871241242092,137.01122615182598,0.14668618049576937,-0.6791387137569039,RBM27
54441,5.55542781024912,4.36900087911905,33.435224239944645,0,-5.1058131666841176,-0.28803629333953384,STAG3L1
54442,15.1596286956841,9.57587667338809,91.23790320871225,0,-6.527287812291884,-0.611616790652185,KCTD5
54443,22.7639186238174,14.8991394618671,137.00416057301922,664.2304243840523,2.269142389669099,-0.5798240713459286,ANLN
5445,10.337885435312,12.0685675817091,62.21834384362465,20.825706375077548,-1.5343148943594431,0.2049494225192576,PON2
